symbol,fast_window,slow_window,signal_window,total_return,max_drawdown,signal_count,final_equity,rank
GOOG,12,26,9,43.485018668229,-0.15030252838390865,20,1.43485018668229,1
META,12,26,9,18.244387487984113,-0.16753683726700785,19,1.1824438748798412,2
MSFT,12,26,9,-3.690739836802226,-0.14984030127169923,21,0.9630926016319777,3
AAPL,12,26,9,-9.764813927969707,-0.20889697063124588,25,0.9023518607203029,4
NVDA,12,26,9,-24.44606030342722,-0.45547512449709743,23,0.7555393969657278,5
